Uniontown;37.7732;-87.9318;;Uniontown37.7732-87.9318
Hardinsburg;37.7755;-86.4537;;Hardinsburg37.7755-86.4537
Boston;37.7838;-85.6803;;Boston37.7838-85.6803
Willisburg;37.8092;-85.1208;;Willisburg37.8092-85.1208
Vine Grove;37.8133;-85.9828;;Vine Grove37.8133-85.9828
Bardstown;37.8174;-85.4548;;Bardstown37.8174-85.4548
Radcliff;37.8206;-85.9366;;Radcliff37.8206-85.9366
Cloverport;37.8312;-86.6304;;Cloverport37.8312-86.6304
Lebanon Junction;37.8358;-85.7243;;Lebanon Junction37.8358-85.7243
Henderson;37.8397;-87.5798;;Henderson37.8397-87.5798
Spottsville;37.8564;-87.4167;;Spottsville37.8564-87.4167
Maceo;37.8624;-86.9914;;Maceo37.8624-86.9914
Irvington;37.8779;-86.2846;;Irvington37.8779-86.2846
Rockport;37.8896;-87.0542;;Rockport37.8896-87.0542
Fort Knox;37.8915;-85.9636;;Fort Knox37.8915-85.9636
Hawesville;37.8962;-86.7562;;Hawesville37.8962-86.7562
Chaplin;37.8996;-85.2195;;Chaplin37.8996-85.2195
Hatfield;37.903;-87.2217;;Hatfield37.903-87.2217
Cannelton;37.9106;-86.7377;;Cannelton37.9106-86.7377
Bloomfield;37.9122;-85.314;;Bloomfield37.9122-85.314
Salvisa;37.921;-84.8615;;Salvisa37.921-84.8615
Ekron;37.9302;-86.1765;;Ekron37.9302-86.1765
Lewisport;37.931;-86.9029;;Lewisport37.931-86.9029
Fairfield;37.932;-85.3838;;Fairfield37.932-85.3838
Mount Vernon;37.9364;-87.8959;;Mount Vernon37.9364-87.8959
Muldraugh;37.9365;-85.9915;;Muldraugh37.9365-85.9915
Grandview;37.9369;-86.9842;;Grandview37.9369-86.9842
Richland;37.9462;-87.169;;Richland37.9462-87.169
Newburgh;37.9494;-87.4053;;Newburgh37.9494-87.4053
Tell City;37.9528;-86.7597;;Tell City37.9528-86.7597
Doe Valley;37.9745;-86.1107;;Doe Valley37.9745-86.1107
Shepherdsville;37.9806;-85.6999;;Shepherdsville37.9806-85.6999
West Point;37.9851;-85.9557;;West Point37.9851-85.9557
Evansville;37.9881;-87.5341;;Evansville37.9881-87.5341
Brandenburg;37.9956;-86.1773;;Brandenburg37.9956-86.1773
Troy;38.0018;-86.7991;;Troy38.0018-86.7991
Chrisney;38.01;-87.0319;;Chrisney38.01-87.0319
Melody Hill;38.024;-87.512;;Melody Hill38.024-87.512
Mauckport;38.026;-86.1997;;Mauckport38.026-86.1997
Laconia;38.0318;-86.0855;;Laconia38.0318-86.0855
Lawrenceburg;38.0332;-84.9032;;Lawrenceburg38.0332-84.9032
Maunie;38.0355;-88.0456;;Maunie38.0355-88.0456
Chandler;38.0368;-87.3747;;Chandler38.0368-87.3747
Taylorsville;38.0368;-85.3336;;Taylorsville38.0368-85.3336
Mount Washington;38.043;-85.5549;;Mount Washington38.043-85.5549
Parkers Settlement;38.044;-87.7146;;Parkers Settlement38.044-87.7146
Fox Chase;38.046;-85.6911;;Fox Chase38.046-85.6911
Boonville;38.0469;-87.2846;;Boonville38.0469-87.2846
Hebron Estates;38.0501;-85.6682;;Hebron Estates38.0501-85.6682
Hillview;38.0563;-85.6848;;Hillview38.0563-85.6848
Pioneer Village;38.0599;-85.68;;Pioneer Village38.0599-85.68
Brooks;38.0656;-85.7178;;Brooks38.0656-85.7178
Hunters Hollow;38.0784;-85.6934;;Hunters Hollow38.0784-85.6934
Tennyson;38.0817;-87.1187;;Tennyson38.0817-87.1187
Hollyvilla;38.0929;-85.7467;;Hollyvilla38.0929-85.7467
Darmstadt;38.0938;-87.5793;;Darmstadt38.0938-87.5793
Heritage Creek;38.0952;-85.6125;;Heritage Creek38.0952-85.6125
New Amsterdam;38.1022;-86.276;;New Amsterdam38.1022-86.276
Gentryville;38.1091;-87.0315;;Gentryville38.1091-87.0315
Santa Claus;38.1168;-86.9292;;Santa Claus38.1168-86.9292
Elk Creek;38.117;-85.3722;;Elk Creek38.117-85.3722
South Park View;38.1185;-85.7199;;South Park View38.1185-85.7199
Alton;38.1211;-86.4195;;Alton38.1211-86.4195
Elizabeth;38.124;-85.9736;;Elizabeth38.124-85.9736
New Harmony;38.1288;-87.9302;;New Harmony38.1288-87.9302
Phillipstown;38.1429;-88.0181;;Phillipstown38.1429-88.0181
Spring Mill;38.1436;-85.6315;;Spring Mill38.1436-85.6315
Hollow Creek;38.1527;-85.6243;;Hollow Creek38.1527-85.6243
Elberfeld;38.1617;-87.4481;;Elberfeld38.1617-87.4481
Crossville;38.1626;-88.0643;;Crossville38.1626-88.0643
New Middletown;38.1644;-86.0508;;New Middletown38.1644-86.0508
Louisville;38.1663;-85.6485;;Louisville38.1663-85.6485
St. Meinrad;38.1692;-86.8257;;St. Meinrad38.1692-86.8257
