Uniontown;37.7732;-87.9318
Hardinsburg;37.7755;-86.4537
Boston;37.7838;-85.6803
Willisburg;37.8092;-85.1208
Vine Grove;37.8133;-85.9828
Bardstown;37.8174;-85.4548
Radcliff;37.8206;-85.9366
Cloverport;37.8312;-86.6304
Lebanon Junction;37.8358;-85.7243
Henderson;37.8397;-87.5798
Spottsville;37.8564;-87.4167
Maceo;37.8624;-86.9914
Irvington;37.8779;-86.2846
Rockport;37.8896;-87.0542
Fort Knox;37.8915;-85.9636
Hawesville;37.8962;-86.7562
Chaplin;37.8996;-85.2195
Hatfield;37.903;-87.2217
Cannelton;37.9106;-86.7377
Bloomfield;37.9122;-85.314
Salvisa;37.921;-84.8615
Ekron;37.9302;-86.1765
Lewisport;37.931;-86.9029
Fairfield;37.932;-85.3838
Mount Vernon;37.9364;-87.8959
Muldraugh;37.9365;-85.9915
Grandview;37.9369;-86.9842
Richland;37.9462;-87.169
Newburgh;37.9494;-87.4053
Tell City;37.9528;-86.7597
Doe Valley;37.9745;-86.1107
Shepherdsville;37.9806;-85.6999
West Point;37.9851;-85.9557
Evansville;37.9881;-87.5341
Brandenburg;37.9956;-86.1773
Troy;38.0018;-86.7991
Chrisney;38.01;-87.0319
Melody Hill;38.024;-87.512
Mauckport;38.026;-86.1997
Laconia;38.0318;-86.0855
Lawrenceburg;38.0332;-84.9032
Maunie;38.0355;-88.0456
Chandler;38.0368;-87.3747
Taylorsville;38.0368;-85.3336
Mount Washington;38.043;-85.5549
Parkers Settlement;38.044;-87.7146
Fox Chase;38.046;-85.6911
Boonville;38.0469;-87.2846
Hebron Estates;38.0501;-85.6682
Hillview;38.0563;-85.6848
Pioneer Village;38.0599;-85.68
Brooks;38.0656;-85.7178
Hunters Hollow;38.0784;-85.6934
Tennyson;38.0817;-87.1187
Hollyvilla;38.0929;-85.7467
Darmstadt;38.0938;-87.5793
Heritage Creek;38.0952;-85.6125
New Amsterdam;38.1022;-86.276
Gentryville;38.1091;-87.0315
Santa Claus;38.1168;-86.9292
Elk Creek;38.117;-85.3722
South Park View;38.1185;-85.7199
Alton;38.1211;-86.4195
Elizabeth;38.124;-85.9736
New Harmony;38.1288;-87.9302
Phillipstown;38.1429;-88.0181
Spring Mill;38.1436;-85.6315
Hollow Creek;38.1527;-85.6243
Elberfeld;38.1617;-87.4481
Crossville;38.1626;-88.0643
New Middletown;38.1644;-86.0508
Louisville;38.1663;-85.6485
St. Meinrad;38.1692;-86.8257
Poseyville;38.1698;-87.7832
Dale;38.1769;-86.9802
Poplar Hills;38.178;-85.6931
Lynnview;38.1791;-85.7112
Cynthiana;38.1872;-87.7086
Watterson Park;38.189;-85.6865
Frankfort;38.1924;-84.8643
West Buechel;38.195;-85.6678
Shively;38.197;-85.8136
Lynnville;38.1988;-87.3141
Leavenworth;38.1994;-86.3451
Haubstadt;38.2039;-87.5752
Griffin;38.2043;-87.915
Jeffersontown;38.2048;-85.5701
Audubon Park;38.205;-85.727
Shelbyville;38.2069;-85.2293
Parkway Village;38.2113;-85.7381
Corydon;38.213;-86.1257
Houston Acres;38.2147;-85.6143
Forest Hills;38.2158;-85.5837
Simpsonville;38.2167;-85.3514
Wellington;38.2168;-85.6702
Strathmoor Manor;38.219;-85.6836
Hurstbourne Acres;38.2201;-85.5907
Strathmoor Village;38.2208;-85.6778
Cambridge;38.2217;-85.6172
Kingsley;38.2219;-85.6726
Meadowview Estates;38.2227;-85.6353
Lincolnshire;38.2238;-85.6216
Ferdinand;38.2269;-86.8631
Seneca Gardens;38.2272;-85.6772
St. Regis Park;38.2289;-85.6159
Lanesville;38.2352;-85.9867
Douglass Hills;38.2366;-85.5499
Hurstbourne;38.238;-85.5891
Woodland Hills;38.2393;-85.5289
Middletown;38.241;-85.5215
Blue Ridge Manor;38.2434;-85.5647
Fort Branch;38.2461;-87.5734
Holland;38.2464;-87.0384
Norbourne Estates;38.2466;-85.6465
Sycamore;38.2468;-85.5612
Wildwood;38.249;-85.5747
St. Matthews;38.2497;-85.6383
Bellemeade;38.251;-85.591
Mackey;38.2519;-87.3911
Norwood;38.2521;-85.6107
Richlawn;38.2547;-85.6412
Grayville;38.2554;-87.997
Spurgeon;38.2554;-87.2587
Beechwood Village;38.2555;-85.6295
Bellewood;38.2608;-85.6594
Woodlawn Park;38.2615;-85.6305
Brownsboro Village;38.2629;-85.6659
Lyndon;38.2644;-85.5891
Druid Hills;38.2649;-85.6617
Maryhill Estates;38.2663;-85.6532
Rolling Fields;38.2689;-85.6708
Anchorage;38.2689;-85.5363
Mockingbird Valley;38.27;-85.6815
Windy Hills;38.2702;-85.6378
Owensville;38.2719;-87.6918
Moorland;38.2728;-85.58
Graymoor-Devondale;38.2733;-85.6177
Briarwood;38.278;-85.5926
Meadowbrook Farm;38.2782;-85.5748
Somerville;38.2786;-87.377
Crossgate;38.2793;-85.6296
Indian Hills;38.2808;-85.6616
Rolling Hills;38.2825;-85.5784
Riverwood;38.2831;-85.6614
Bancroft;38.2832;-85.6129
Meadow Vale;38.2833;-85.5728
Plantation;38.2834;-85.5936
Northfield;38.2857;-85.6362
Langdon Place;38.2865;-85.5849
Hickory Hill;38.2877;-85.5679
Crandall;38.2881;-86.0659
Thornhill;38.2884;-85.6256
Old Brownsboro Place;38.2892;-85.6132
Glenview Manor;38.2907;-85.6333
Murray Hill;38.2907;-85.5871
Creekside;38.2914;-85.5701
Goose Creek;38.2934;-85.5906
Glenview Hills;38.2951;-85.6382
Broeck Pointe;38.2955;-85.5856
Georgetown;38.2958;-85.9628
Spring Valley;38.2968;-85.6108
Ten Broeck;38.2976;-85.5806
Manor Creek;38.2981;-85.5873
Barbourmeade;38.2986;-85.6009
Hills and Dales;38.3005;-85.6249
Huntingburg;38.301;-86.9622
Glenview;38.302;-85.6519
Brownsboro Farm;38.304;-85.5946
Fincastle;38.3082;-85.5414
New Albany;38.3089;-85.8234
Worthington Hills;38.3093;-85.527
Pewee Valley;38.3105;-85.4895
New Salisbury;38.314;-86.1
Coldstream;38.3144;-85.5264
Birdseye;38.315;-86.6961
Green Spring;38.3163;-85.6137
Clarksville;38.3221;-85.7673
Orchard Grass Hills;38.3234;-85.5236
Francisco;38.3327;-87.4481
Crestwood;38.3356;-85.4839
Jeffersonville;38.3376;-85.7026
Oakland City;38.3378;-87.3494
Utica;38.3381;-85.6558
English;38.3408;-86.4592
Milltown;38.3421;-86.2755
Prospect;38.3471;-85.6103
Pleasureville;38.3511;-85.1121
Galena;38.3513;-85.9372
Keensburg;38.3517;-87.8683
Princeton;38.3553;-87.5784
Eminence;38.3637;-85.1778
Marengo;38.3714;-86.3444
Greenville;38.3716;-85.9827
River Bluff;38.3719;-85.604
Albion;38.3767;-88.0579
Browns;38.3775;-87.9831
Winslow;38.3827;-87.2129
Bellmont;38.383;-87.9107
Smithfield;38.3864;-85.2566
Buckner;38.3867;-85.4503
Jasper;38.3933;-86.9402
La Grange;38.3987;-85.375
Patoka;38.4015;-87.5875
Goshen;38.4027;-85.5825
Sellersburg;38.4028;-85.7706
Palmyra;38.4082;-86.1086
Mount Carmel;38.4187;-87.7694
Monterey;38.4233;-84.8728
Charlestown;38.427;-85.6677
New Castle;38.4334;-85.1689
Fredericksburg;38.4353;-86.1969
Bone Gap;38.4449;-87.9976
Dubois;38.4458;-86.7978
Otwell;38.4566;-87.0959
Hardinsburg;38.462;-86.2732
Borden;38.4699;-85.9491
Gratz;38.4718;-84.947
Westport;38.4874;-85.4753
Memphis;38.4892;-85.7679
Hazleton;38.4893;-87.5406
Petersburg;38.4919;-87.281
New Pekin;38.5029;-86.0152
Decker;38.5184;-87.524
West Salem;38.5198;-88.0092
Campbellsburg;38.522;-85.2195
Allendale;38.5276;-87.7102
Owenton;38.5386;-84.8409
Henryville;38.5395;-85.7655
French Lick;38.5462;-86.6202
Livonia;38.5549;-86.2778
Paoli;38.5572;-86.4699
Alfordsville;38.5608;-86.9482
New Washington;38.5657;-85.5461
West Baden Springs;38.5675;-86.612
Parkersburg;38.5891;-88.0568
St. Francisville;38.5919;-87.6474
Bedford;38.5957;-85.3175
Salem;38.6048;-86.0977
Worthville;38.6098;-85.0681
Monroe City;38.6145;-87.3531
Calhoun;38.6511;-88.044
Campbellsburg;38.6514;-86.2613
Sanders;38.6549;-84.9466
Washington;38.6587;-87.1591
Orleans;38.6615;-86.4517
Wheatland;38.6632;-87.3062
Montgomery;38.6655;-87.0493
Saltillo;38.6662;-86.2975
Shoals;38.6669;-86.7938
Cannelburg;38.668;-86.9978
Loogootee;38.6756;-86.9141
Vincennes;38.676;-87.5102
Carrollton;38.68;-85.1656
Prestonville;38.6805;-85.1931
Scottsburg;38.6851;-85.783
Sparta;38.6969;-84.9073
Little York;38.6993;-85.9045
Bridgeport;38.7095;-87.759
Milton;38.7113;-85.3734
Hanover;38.7133;-85.4726
Claremont;38.7176;-87.973
Sumner;38.7195;-87.8722
Dover Hill;38.7221;-86.8002
Glencoe;38.7252;-84.8238
Lawrenceville;38.7264;-87.6873
Olney;38.7285;-88.0838
Ghent;38.734;-85.0612
Brooksburg;38.735;-85.2445
Mitchell;38.7368;-86.4755
Kent;38.7369;-85.5387
Austin;38.7418;-85.8112
Vevay;38.7427;-85.0783
Ragsdale;38.7467;-87.3241
Bruceville;38.758;-87.4154
Madison;38.7581;-85.3974
Bicknell;38.7743;-87.3078
Warsaw;38.7773;-84.9042
Florence;38.7836;-84.9238
Crothersville;38.7944;-85.84
Deputy;38.7952;-85.6528
Emison;38.7991;-87.4604
Plainville;38.8049;-87.1515
Edwardsport;38.8127;-87.2511
Williams;38.8147;-86.6446
Russellville;38.8188;-87.53
Burns City;38.8203;-86.8927
Medora;38.8245;-86.1712
Patriot;38.8366;-84.8293
Odon;38.8423;-86.9894
Vallonia;38.8462;-86.0992
Bedford;38.8602;-86.4895
Freelandville;38.8653;-87.3102
Canaan;38.8661;-85.2996
Westphalia;38.8665;-87.2277
East Enterprise;38.8702;-84.9889
Oaktown;38.8717;-87.4412
Elnora;38.8762;-87.0846
Brownstown;38.8789;-86.0479
Dupont;38.8915;-85.5169
Oolitic;38.8935;-86.5254
Crane;38.8943;-86.9012
Sandborn;38.8967;-87.1849
Flat Rock;38.9037;-87.6734
Scotland;38.909;-86.9048
Avoca;38.9172;-86.5557
Newberry;38.9238;-87.0193
Rabbit Hash;38.924;-84.8503
Ste. Marie;38.93;-88.0278
Owensburg;38.9305;-86.7292
Seymour;38.9476;-85.891
Rising Sun;38.9531;-84.8545
Carlisle;38.9608;-87.4015
Hayden;38.9714;-85.739
Freetown;38.9773;-86.127
Belleview;38.9792;-84.8249
Vernon;38.9854;-85.6102
Lyons;38.9884;-87.0812
Willow Hill;38.9958;-88.0218
Stoy;38.9968;-87.8336
Palestine;39.0016;-87.6126
Oblong;39.0022;-87.9107
Robinson;39.0089;-87.7333
North Vernon;39.017;-85.6317
Harrodsburg;39.018;-86.5532
Dillsboro;39.0185;-85.0531
Bloomfield;39.026;-86.9375
Butlerville;39.0326;-85.5131
Switz City;39.0349;-87.0538
Linton;39.0356;-87.1586
Country Squire Lakes;39.038;-85.6849
Petersburg;39.0531;-84.8572
Merom;39.056;-87.5672
Smithville-Sanders;39.0597;-86.5108
Jonesville;39.0598;-85.8878
Versailles;39.0636;-85.2564
Aurora;39.0677;-84.9046
Dugger;39.0704;-87.259
Holton;39.0752;-85.3847
Scipio;39.0771;-85.716
Sullivan;39.0973;-87.4074
Lawrenceburg;39.0986;-84.8713
Hutsonville;39.1084;-87.6609
Moores Hill;39.1129;-85.0893
Worthington;39.1184;-86.9798
Yale;39.1203;-88.0246
Milan;39.1255;-85.127
Osgood;39.1291;-85.292
Greendale;39.1317;-84.851
Elizabethtown;39.1351;-85.8125
Annapolis;39.1452;-87.8154
Jasonville;39.162;-87.1998
Elizabethtown;39.1621;-84.8037
Bloomington;39.1637;-86.5257
Hidden Valley;39.1673;-84.8444
West York;39.1689;-87.673
Westport;39.1767;-85.5747
Shelburn;39.1791;-87.3971
Hymera;39.1859;-87.2989
Coalmont;39.1931;-87.2265
Napoleon;39.2039;-85.3272
Nashville;39.2079;-86.2383
Columbus;39.2093;-85.9183
Millhousen;39.2115;-85.435
West Union;39.215;-87.6657
Bright;39.2254;-84.8613
Ellettsville;39.2322;-86.6232
Sunman;39.2373;-85.0931
Farmersburg;39.2526;-87.3807
West Harrison;39.2581;-84.8226
Harrison;39.2582;-84.7868
Hartsville;39.2669;-85.6992
Clay City;39.277;-87.1127
Clifford;39.2827;-85.8691
Spencer;39.2862;-86.7726
St. Leon;39.2935;-84.9641
Taylorsville;39.2964;-85.9503
Batesville;39.2974;-85.2139
Hope;39.2993;-85.766
Stinesville;39.2999;-86.6498
Casey;39.3027;-87.9895
Cordry Sweetwater Lakes;39.3085;-86.1227
New Trenton;39.3088;-84.8968
New Point;39.3098;-85.3271
Martinsville;39.3381;-87.8814
Oldenburg;39.3388;-85.2041
Gosport;39.3507;-86.6665
Edinburgh;39.3509;-85.9625
Prince's Lakes;39.3514;-86.1094
Greensburg;39.3515;-85.5024
Cedar Grove;39.356;-84.9372
Morgantown;39.3729;-86.2585
Riley;39.3897;-87.3002
Paragon;39.3952;-86.5627
Painted Hills;39.3963;-86.3494
Marshall;39.3984;-87.6899
Mount Carmel;39.4076;-84.8755
Lake Santee;39.4078;-85.3066
Trafalgar;39.4124;-86.1499
Center Point;39.4154;-87.0752
Martinsville;39.4228;-86.4208
Brookville;39.423;-85.0105
St. Paul;39.4282;-85.6287
Clarksburg;39.4354;-85.3471
Metamora;39.4481;-85.1378
Waldron;39.4535;-85.6629
Westfield;39.4555;-87.9963
Toad Hop;39.4568;-87.4639
Dresser;39.4633;-87.424
West Terre Haute;39.4638;-87.4506
Terre Haute;39.4654;-87.3763
Staunton;39.4864;-87.1889
Seelyville;39.4936;-87.2667
Franklin;39.4938;-86.0546
Milroy;39.498;-85.4676
Laurel;39.5015;-85.1878
St. Mary of the Woods;39.512;-87.4628
Cloverdale;39.5211;-86.7995
Brazil;39.5226;-87.124
Knightsville;39.5253;-87.0891
Ashmore;39.5306;-88.0201
Harmony;39.5337;-87.073
Bethany;39.5337;-86.3778
Shelbyville;39.535;-85.7792
North Terre Haute;39.537;-87.3653
Bargersville;39.5412;-86.2004
Brooklyn;39.5436;-86.3674
Whiteland;39.5507;-86.0742
Kansas;39.5545;-87.9396
